Timestamp, RSSI
Tue Apr  4 12:01:11 2023,-81
Tue Apr  4 12:01:12 2023,-81
Tue Apr  4 12:01:13 2023,-81
Tue Apr  4 12:01:14 2023,-87
Tue Apr  4 12:01:15 2023,-87
Tue Apr  4 12:01:16 2023,-87
Tue Apr  4 12:01:17 2023,-86
Tue Apr  4 12:01:18 2023,-80
Tue Apr  4 12:01:19 2023,-79
Tue Apr  4 12:01:20 2023,-79
Tue Apr  4 12:01:21 2023,-79
Tue Apr  4 12:01:22 2023,-80
Tue Apr  4 12:01:23 2023,-87
Tue Apr  4 12:01:24 2023,-86
Tue Apr  4 12:01:25 2023,-87
Tue Apr  4 12:01:26 2023,-89
Tue Apr  4 12:01:27 2023,-79
Tue Apr  4 12:01:28 2023,-80
Tue Apr  4 12:01:29 2023,-79
Tue Apr  4 12:01:30 2023,-80
Tue Apr  4 12:01:31 2023,-87
Tue Apr  4 12:01:32 2023,-86
Tue Apr  4 12:01:33 2023,-86
Tue Apr  4 12:01:34 2023,-86
Tue Apr  4 12:01:35 2023,-82
Tue Apr  4 12:01:36 2023,-88
Tue Apr  4 12:01:37 2023,-86
